timestamp,cpu_utilization_percent,memory_used_mb,memory_utilization_percent
0.0009129000827670097,0.0,12542.91015625,76.9
1.0083388001658022,41.3,12587.796875,77.2
2.0133472001180053,45.5,12652.3046875,77.6
3.021786500234157,25.7,12677.6015625,77.7
4.02954460028559,28.5,12765.29296875,78.3
5.037997900042683,31.0,12770.046875,78.3
6.047802600078285,27.9,12777.91796875,78.3
7.060612400062382,33.7,12772.30859375,78.3
8.074293800164014,29.0,12773.359375,78.3
9.084655200131238,29.2,12771.58984375,78.3
10.092809400055557,33.9,12867.34765625,78.9
11.102266199886799,31.1,12827.16796875,78.7
12.102791800163686,31.6,12811.7421875,78.6
13.112170999869704,36.9,12806.4296875,78.5
14.12397490022704,35.0,12821.83984375,78.6
15.131876700092107,33.2,12803.54296875,78.5
16.137461999896914,36.9,12816.62890625,78.6
17.147825399879366,30.2,12820.046875,78.6
18.154326899908483,50.2,12330.31640625,75.6
19.16227120021358,30.7,12308.53125,75.5
20.174162600189447,31.0,12289.5390625,75.4
21.184689099900424,30.2,12292.28515625,75.4
22.185086200013757,31.2,12297.46875,75.4
23.19912500027567,33.7,12294.953125,75.4
24.213366699870676,33.4,12296.68359375,75.4
25.221491300035268,33.5,12302.2109375,75.4
26.231141000054777,31.0,12298.98828125,75.4
27.244360900018364,27.8,12299.921875,75.4
28.25635079992935,30.7,12295.2265625,75.4
29.268257100135088,41.2,12308.76953125,75.5
30.270574199967086,36.6,12300.18359375,75.4
31.280774999875575,31.6,12311.87890625,75.5
32.29136440018192,28.8,12306.6484375,75.5
33.30012409994379,29.6,12304.8671875,75.4
34.313720299862325,31.3,12304.625,75.4
35.32411749986932,31.1,12304.21484375,75.4
36.33604620024562,37.4,12399.0078125,76.0
37.348695000167936,36.9,12313.546875,75.5
38.3643351001665,31.7,12312.0859375,75.5
39.373097700066864,41.7,12305.14453125,75.5
40.384041800163686,37.5,12329.5859375,75.6
41.39071509987116,29.8,12312.05859375,75.5
42.40099640004337,30.3,12309.578125,75.5
43.41359069989994,29.3,12307.03515625,75.5
44.4265171000734,43.9,12306.70703125,75.5
45.43968540010974,50.9,12341.51171875,75.7
46.45297079999,36.2,12333.75,75.6
47.463303099852055,34.6,12340.875,75.7
48.471346999984235,42.2,12301.078125,75.4
49.48312450014055,41.7,12340.765625,75.7
50.497632700018585,31.8,12337.9140625,75.7
51.509027200285345,29.9,12337.140625,75.6
52.522811099886894,32.5,12343.26171875,75.7
53.53465009992942,34.0,12333.96875,75.6
54.542880500201136,36.5,12365.73828125,75.8
55.555149800144136,33.4,12367.35546875,75.8
56.56204540003091,41.4,12358.5234375,75.8
57.5717345001176,29.4,12354.62890625,75.8
