timestamp,cpu_utilization_percent,memory_used_mb,memory_utilization_percent
0.0004778001457452774,0.0,10648.31640625,65.3
1.0045644999481738,30.1,10852.30859375,66.5
2.0077789002098143,41.4,11056.8203125,67.8
3.010961899999529,33.1,11895.3515625,72.9
4.013425100129098,33.3,12720.15234375,78.0
5.020110500045121,34.8,13463.9375,82.6
6.02133519994095,34.2,14182.20703125,87.0
7.026204000227153,35.6,14933.20703125,91.6
8.02672620024532,46.3,15196.47265625,93.2
9.036920600105077,49.6,15469.4609375,94.9
10.059566700365394,46.5,15596.703125,95.6
11.07154790032655,53.9,15474.953125,94.9
12.081375400070101,54.5,15066.67578125,92.4
13.090223000384867,51.1,14979.06640625,91.8
14.096028100233525,43.7,14860.2578125,91.1
15.104176700115204,42.6,14823.7109375,90.9
16.113615000154823,56.6,14830.4296875,90.9
17.119568299967796,52.2,14806.9921875,90.8
18.12945370003581,43.6,14651.66796875,89.8
19.13603960024193,56.5,14782.11328125,90.6
20.153519600164145,80.2,14912.70703125,91.4
21.157378300093114,72.9,14992.48828125,91.9
22.169507400132716,48.8,15085.76953125,92.5
23.177238800097257,53.7,14951.7109375,91.7
24.18523670034483,48.7,15015.08984375,92.1
25.191365000326186,73.6,15133.41796875,92.8
26.19724000012502,62.4,15190.1171875,93.1
27.19907410023734,51.7,15179.79296875,93.1
28.211629200261086,44.7,15163.63671875,93.0
29.219221100211143,48.7,15148.80078125,92.9
30.227669700048864,43.8,15187.80078125,93.1
31.229479600209743,58.6,15054.38671875,92.3
32.236494100186974,46.9,14758.58984375,90.5
33.2370263999328,38.0,14763.55859375,90.5
34.24301129998639,40.2,14718.8828125,90.3
35.249851800035685,39.2,14400.9375,88.3
36.25604630028829,42.9,14441.86328125,88.6
37.26214150013402,42.5,14481.1953125,88.8
38.26356089999899,59.1,14492.62109375,88.9
39.26871170010418,42.5,14538.13671875,89.1
40.27149290032685,52.3,14651.03515625,89.8
41.27962930034846,51.4,14821.23828125,90.9
42.28682380029932,52.5,14768.421875,90.6
43.29423260036856,42.8,14779.54296875,90.6
44.309163600206375,44.5,14783.36328125,90.6
45.3137582000345,57.2,14853.5625,91.1
46.32305460004136,49.1,14804.09375,90.8
47.33763370011002,48.8,14808.578125,90.8
48.34278730023652,52.1,14927.30859375,91.5
49.34567099995911,68.7,14871.015625,91.2
50.34997780015692,64.2,15031.92578125,92.2
51.36470910022035,76.2,15120.5859375,92.7
52.38175160018727,55.6,15178.46484375,93.1
