timestamp,power_watts,temp_c,memory_mb,utilization_percent
0.0014627999626100063,13.017,52,7090.390625,35
1.0062431995756924,45.973,54,7231.453125,77
2.012793999630958,72.33,59,7344.234375,99
3.0166549999266863,45.58,55,7362.109375,35
4.020611599553376,55.238,56,7391.109375,25
5.030245299916714,46.213,56,7411.5390625,35
6.037659299559891,86.46,57,7444.6328125,38
7.047400099691004,49.777,57,7624.8203125,40
8.055899899918586,46.158,57,7554.8203125,37
9.061867399606854,50.01,57,7506.6328125,40
10.074983299709857,48.866,57,7620.5078125,33
11.080785399768502,47.293,57,7681.3828125,31
12.084086099639535,42.756,57,7625.9453125,37
13.086444199550897,45.202,57,7575.8828125,66
14.090690899640322,42.56,57,7594.2578125,22
15.097278999630362,44.702,57,7614.7265625,20
16.100655399728566,43.931,57,7605.171875,19
17.11400099983439,45.973,57,7605.078125,19
18.12281719967723,42.353,57,7606.109375,17
19.144742999691516,43.894,57,7586.515625,20
20.150587799958885,47.049,57,7573.140625,80
21.15911619970575,46.695,57,7519.453125,20
22.168382599949837,44.068,57,7519.109375,20
23.173439499922097,46.15,58,7521.734375,18
24.182123799808323,44.135,58,7520.359375,17
25.18400099966675,44.039,58,7568.765625,18
26.186554999556392,47.433,58,7554.703125,48
27.1957380999811,44.654,58,7538.515625,19
28.19662049971521,44.572,58,7532.5390625,22
29.19841179996729,43.85,58,7455.8828125,18
30.200017899740487,44.524,58,7477.5078125,23
31.203767499886453,45.343,58,7531.5078125,18
32.2147812996991,43.557,58,7697.5078125,24
33.21866309968755,43.702,59,7460.8203125,85
34.22350239986554,44.231,59,7529.9140625,18
35.23352709971368,44.187,59,7538.9140625,21
36.23647929960862,43.753,59,7472.3515625,18
37.24175069993362,43.957,59,7482.3515625,20
38.24825759977102,43.731,59,7702.2265625,21
39.25499759986997,44.698,59,7500.2265625,86
40.26190499961376,44.491,59,7500.2265625,19
41.2673616996035,43.753,59,7498.6015625,21
42.27610409958288,33.144,59,7543.2890625,25
43.276857499964535,31.299,58,7585.8828125,22
44.29156029969454,32.069,58,7553.6640625,19
45.29250159999356,45.02,59,7548.109375,88
46.300899599678814,44.135,59,7485.734375,19
47.31091699982062,44.913,59,7538.7890625,17
48.32496409956366,42.612,60,7539.0390625,19
49.327119699679315,44.524,60,7536.0390625,21
50.33080199966207,43.994,60,7558.0390625,21
51.33245009975508,44.187,60,7698.4140625,27
52.34294799994677,45.599,60,7478.7265625,65
53.34623359981924,44.957,60,7491.1953125,19
54.35640399996191,43.668,60,7491.1953125,18
55.36868129996583,44.428,60,7491.2578125,21
56.37306169979274,44.039,60,7490.4453125,20
57.375060599762946,46.021,61,7656.1953125,27
58.38405919959769,44.68,60,7638.5703125,19
59.39034069981426,43.316,60,7637.359375,18
60.398787499871105,44.765,61,7637.734375,21
61.41576209990308,46.807,61,7644.2890625,22
62.42531109973788,45.165,60,7635.3203125,18
63.427799799945205,46.177,61,7851.5859375,33
64.42820109985769,46.857,61,7626.5234375,68
65.43099959986284,45.102,61,7660.3359375,18
66.43873889977112,46.743,61,7659.9140625,18
67.44336669985205,45.616,61,7637.9765625,20
68.45102969976142,44.039,61,7701.8515625,21
69.45823929971084,44.346,61,7694.296875,20
70.46706579998136,44.283,61,7836.921875,20
71.47273099981248,47.614,61,7613.921875,72
72.48811669973657,45.809,61,7617.234375,20
73.49154959991574,44.62,61,7621.609375,19
74.49951569968835,44.428,62,7707.421875,19
75.50656889984384,44.861,62,7713.2109375,22
76.5153113999404,43.946,61,7713.3359375,19
77.5241382997483,48.481,62,7608.6640625,32
78.52943699993193,44.331,62,7627.4765625,18
79.53608759958297,47.257,62,7633.9765625,19
80.53724599955603,44.524,62,7629.6015625,18
81.54459699988365,44.361,62,7632.2265625,18
82.55317489989102,43.798,62,7634.1640625,17
